Date,Open,High,Low,Close,Volume
22/06/2011 16:00:00,6,6.2,5.95,6.1,177877
23/06/2011 16:00:00,6,6.4,6,6.35,159753
24/06/2011 16:00:00,6.3,6.55,6.25,6.45,171814
27/06/2011 16:00:00,6.45,6.51,6.2,6.3,146381
28/06/2011 16:00:00,6.3,6.45,6.3,6.35,81086
29/06/2011 16:00:00,6.4,6.75,6.25,6.3,371614
30/06/2011 16:00:00,6.3,6.5,6.3,6.4,146626
01/07/2011 16:00:00,6.2,6.55,6.2,6.5,106293
05/07/2011 16:00:00,6.4,6.55,6.4,6.55,163875
06/07/2011 16:00:00,6.4,6.61,6.25,6.4,150132
07/07/2011 16:00:00,6.45,6.6,6.4,6.45,142885
08/07/2011 16:00:00,6.45,6.45,5.9,6.3,172192
11/07/2011 16:00:00,6.35,6.35,5.9,6.2,113895
12/07/2011 16:00:00,6.1,6.35,5.95,6.05,120577
13/07/2011 16:00:00,6.05,6.2,6.05,6.05,107704
14/07/2011 16:00:00,6.05,6.15,5.8,5.8,161602
15/07/2011 16:00:00,5.85,6,5.85,5.85,69554
18/07/2011 16:00:00,5.8,5.95,5.7,5.75,138951
19/07/2011 16:00:00,5.8,5.9,5.75,5.75,93898
20/07/2011 16:00:00,5.8,5.95,5.7,5.9,126679
21/07/2011 16:00:00,5.95,6.05,5.75,5.8,153735
22/07/2011 16:00:00,5.75,6.05,5.7,6,228493
25/07/2011 16:00:00,5.85,6.2,5.8,6.1,106576
26/07/2011 16:00:00,5.9,6.35,5.9,6.2,183942
27/07/2011 16:00:00,6.1,6.2,6,6.05,68432
28/07/2011 16:00:00,5.95,6.05,5.9,5.9,102996
29/07/2011 16:00:00,5.9,6.09,5.85,6,80640
01/08/2011 16:00:00,6,6.2,6,6,95110
02/08/2011 16:00:00,6,6.09,5.8,5.8,121440
03/08/2011 16:00:00,5.8,5.93,5.7,5.7,166142
04/08/2011 16:00:00,5.7,5.8,5.05,5.2,562171
05/08/2011 16:00:00,5.15,5.4,5.1,5.15,205073
08/08/2011 16:00:00,5,5,4.6,4.85,496885
09/08/2011 16:00:00,4.8,5.25,4.7,5.05,266150
10/08/2011 16:00:00,4.8,5.15,4.75,4.8,156766
11/08/2011 16:00:00,4.9,5,4.5,4.55,328212
12/08/2011 16:00:00,4.65,5,4.6,5,223966
15/08/2011 16:00:00,4.9,5.2,4.8,5.2,165683
16/08/2011 16:00:00,5.25,5.25,4.8,5,195912
17/08/2011 16:00:00,4.95,5.05,4.75,4.83,156326
18/08/2011 16:00:00,4.75,4.85,4.7,4.7,175611
19/08/2011 16:00:00,4.6,4.85,4.55,4.65,201746
22/08/2011 16:00:00,4.7,4.7,4.6,4.6,272334
23/08/2011 16:00:00,4.6,4.75,4.56,4.75,144909
24/08/2011 16:00:00,4.7,4.7,4.6,4.6,99899
25/08/2011 16:00:00,4.65,4.65,4.3,4.45,393634
26/08/2011 16:00:00,4.4,4.45,4.31,4.4,233806
29/08/2011 16:00:00,4.4,4.45,4.35,4.4,284883
30/08/2011 16:00:00,4.35,4.65,4.35,4.4,383613
31/08/2011 16:00:00,4.4,4.5,4.35,4.5,262659
01/09/2011 16:00:00,4.55,4.55,4.3,4.3,378422
02/09/2011 16:00:00,4.3,4.4,4.05,4.4,235334
06/09/2011 16:00:00,4.25,4.35,4.25,4.3,313236
07/09/2011 16:00:00,4.3,4.3,4.22,4.22,513420
08/09/2011 16:00:00,4.2,4.25,4.11,4.2,394800
09/09/2011 16:00:00,4.15,4.2,4.1,4.15,260007
12/09/2011 16:00:00,4.1,4.14,4.08,4.1,294220
13/09/2011 16:00:00,4.05,4.05,4,4,349250
14/09/2011 16:00:00,4,4.1,4,4,320773
15/09/2011 16:00:00,4,4.34,4,4.34,464357
16/09/2011 16:00:00,4.3,4.3,4.15,4.15,300947
19/09/2011 16:00:00,4.15,4.5,4.15,4.45,479701
20/09/2011 16:00:00,4.45,4.74,4.35,4.63,457072
21/09/2011 16:00:00,4.65,4.83,4.52,4.52,297436
22/09/2011 16:00:00,4.5,4.5,4.36,4.4,468890
23/09/2011 16:00:00,4.43,4.5,4.43,4.43,314228
26/09/2011 16:00:00,4.4,4.5,4.36,4.36,241263
27/09/2011 16:00:00,4.4,4.6,4.35,4.59,346512
28/09/2011 16:00:00,4.55,4.55,4.35,4.35,367109
29/09/2011 16:00:00,4.45,4.45,4.3,4.35,357907
30/09/2011 16:00:00,4.35,4.5,4.35,4.35,157753
03/10/2011 16:00:00,4.35,4.4,4.3,4.3,251638
04/10/2011 16:00:00,4.3,4.55,4.25,4.5,401250
05/10/2011 16:00:00,4.55,4.9,4.5,4.85,189836
06/10/2011 16:00:00,4.78,4.85,4.5,4.55,260271
07/10/2011 16:00:00,4.55,4.55,4.45,4.46,177074
10/10/2011 16:00:00,4.4,4.7,4.4,4.55,168404
11/10/2011 16:00:00,4.5,5,4.4,5,283526
12/10/2011 16:00:00,5,5.1,4.65,4.93,275249
13/10/2011 16:00:00,4.95,5.2,4.9,5.1,176145
14/10/2011 16:00:00,5.1,5.35,5,5.3,182373
17/10/2011 16:00:00,5.3,5.4,5.25,5.3,154787
18/10/2011 16:00:00,5.3,5.5,5.15,5.3,199674
19/10/2011 16:00:00,5.35,5.45,5.05,5.05,126738
20/10/2011 16:00:00,5.05,5.2,4.9,4.9,45920
21/10/2011 16:00:00,4.91,5,4.8,4.8,71562
24/10/2011 16:00:00,4.75,4.8,4.6,4.75,190528
25/10/2011 16:00:00,4.7,4.9,4.7,4.75,139568
26/10/2011 16:00:00,4.8,5.05,4.8,5,77534
27/10/2011 16:00:00,5,5.05,4.95,4.95,43142
28/10/2011 16:00:00,4.95,5.05,4.55,4.7,139759
31/10/2011 16:00:00,4.55,4.75,4.55,4.6,69307
01/11/2011 16:00:00,4.6,4.72,4.51,4.51,105437
02/11/2011 16:00:00,4.6,4.7,4.4,4.4,70529
03/11/2011 16:00:00,4.64,4.65,4.4,4.5,24677
04/11/2011 16:00:00,4.45,4.6,4.4,4.4,63179
07/11/2011 16:00:00,4.4,4.55,4.4,4.5,47393
08/11/2011 16:00:00,4.45,4.46,4.4,4.4,184857
09/11/2011 16:00:00,4.4,4.42,4.25,4.25,177375
10/11/2011 16:00:00,4.3,4.4,4.25,4.4,198084
11/11/2011 16:00:00,4.3,4.4,4.25,4.4,147436
14/11/2011 16:00:00,4.25,4.45,4.25,4.35,29253
15/11/2011 16:00:00,4.25,4.44,4.25,4.39,91792
16/11/2011 16:00:00,4.25,4.4,4.25,4.4,96792
17/11/2011 16:00:00,4.4,4.55,4.35,4.55,110833
18/11/2011 16:00:00,4.3,4.45,4.3,4.4,106460
21/11/2011 16:00:00,4.35,4.35,4.25,4.25,152738
22/11/2011 16:00:00,4.26,4.35,4.25,4.25,8191
23/11/2011 16:00:00,4.25,4.3,4.2,4.21,131267
25/11/2011 16:00:00,4.23,4.3,4.2,4.2,35108
28/11/2011 16:00:00,4.2,4.28,4.2,4.2,64481
29/11/2011 16:00:00,4.2,4.3,4.2,4.2,62450
30/11/2011 16:00:00,4.2,4.3,4.2,4.21,118978
01/12/2011 16:00:00,4.2,4.2,4.05,4.1,139289
02/12/2011 16:00:00,4.1,4.2,4.1,4.1,60330
05/12/2011 16:00:00,4.1,4.25,4.1,4.2,84621
06/12/2011 16:00:00,4.15,4.5,4.15,4.2,209712
07/12/2011 16:00:00,4.25,4.44,4.25,4.25,38783
08/12/2011 16:00:00,4.25,4.28,4.25,4.25,27695
09/12/2011 16:00:00,4.25,4.26,4.2,4.2,60532
